rank,item_tag,score,price_cov,avg_volume,manip_risk,mean_sell,sell_price_std,n_records
1,RECOMBOBULATOR_3000,3.41586E+12,0.0753,103736,0.0224,9792978.06,737019.09,59
2,VERY_CRUDE_GABAGOOL,1.66548E+11,0.0954,1578139,0.0496,54871.62,5232.44,59
4,FARMING_FOR_DUMMIES,1.06254E+11,0.2375,54297,0.2062,1698864.13,403460.33,59
5,ESSENCE_DRAGON,78716094589,0.0862,17336369,0.0626,3298.13,284.43,59
6,GRIFFIN_FEATHER,71151517393,0.2775,81134,0.046,145351.79,40340.02,59
7,GREAT_WHITE_SHARK_TOOTH,62788640244,0.1379,60063,0.154,1167173.07,160983.83,59
8,ENCHANTMENT_ULTIMATE_REITERATE_1,59883218065,0.2631,15845,0.1059,1521330.58,400321.49,59
9,REFINED_DIAMOND,57790661065,0.0656,67762,0.0462,600422.05,39389.52,59
10,ENCHANTED_COAL,57763860768,0.1284,19552106,0.0519,1195.04,153.4,59
11,ENCHANTED_UMBER,57628440467,0.2474,1537155,0.0867,13136.83,3250.16,59
12,COLOSSAL_EXP_BOTTLE,50648409001,0.0297,86784,0.0858,1685874.35,50055.15,59
13,FLAWLESS_JADE_GEM,50092449570,0.1085,17946,0.0691,1777615.35,192843.18,59
14,CHOCOBERRY,50050313864,0.558,67986,0.3446,454585.79,253673,59
16,SCORCHED_POWER_CRYSTAL,45822225941,0.1404,76014,0.1775,762089.91,107022.83,59
17,TARANTULA_WEB,44227763515,0.0985,9220496,0.0392,1909.11,188.04,59
18,ABSOLUTE_ENDER_PEARL,38699583762,0.6317,329179,0.1146,21335.41,13477.75,59
19,GIANT_FRAGMENT_DIAMOND,34780622578,0.108,44718,0.1017,732150.9,79093.08,59
20,WHITE_GIFT,32994465246,0.1782,9270511,0.1817,3628.46,646.73,59
21,DERELICT_ASHE,32565359585,0.0859,32856375,0.1434,1655.46,142.17,59
22,FAKE_SHURIKEN,31867286564,0.181,706192,0.1596,39808.1,7204.11,59
23,ROBOTRON_REFLECTOR,29279419650,0.2016,126115,0.1482,170713.62,34412.95,59
24,KISMET_FEATHER,27002835788,0.0522,26199,0.0553,1091928.77,57007.53,59
25,CINDERSHADE,26489396414,0.6599,29691,0.4199,567673.67,374630.88,59
26,ENCHANTED_REDSTONE_BLOCK,25815530314,0.3522,183177,0.0649,25979.28,9151.15,59
27,COMPOST,24533913938,0.1425,302816,0.0307,17471.75,2488.93,59
28,SHARD_APEX_DRAGON,21259780724,0.1454,73351,0.2033,405372.2,58928.67,60
29,ENCHANTMENT_FEROCIOUS_MANA_5,19870979037,0.2359,37591,0.284,636348.26,150111.94,59
30,HAMSTER_WHEEL,19796045762,0.0402,3282783,0.1301,19502.9,784.48,59
31,NULL_OVOID,19087849278,0.1156,125476,0.09,118432.65,13690.67,59
32,ESSENCE_SPIDER,16881561830,0.127,12681019,0.1314,1377.52,174.89,59
33,ENCHANTED_QUARTZ_BLOCK,16075550641,0.1318,81941,0.0855,127220.69,16770.47,59
34,LARGE_ENCHANTED_CHEST,15659814837,0.1157,147910,0.3527,322843.21,37343.08,59
35,GRAND_EXP_BOTTLE,15457504974,0.0655,2941390,0.0582,4674.85,306.07,59
36,ENCHANTMENT_PROSPERITY_1,14300211027,0.1805,22315,0.3965,1407757.95,254064.28,59
37,SORROW,13912132973,0.2278,43675,0.1133,158442.88,36097.96,59
38,BURROWING_SPORES,13835222413,0.4887,23623,0.4287,513740.24,251088.31,59
39,FINE_PERIDOT_GEM,13770272847,0.1322,237779,0.0888,38915.6,5144.7,59
40,TURTLELLINI,13734104435,0.7795,24730,0.3849,274207.41,213758.2,59
41,ENCHANTED_BLAZE_ROD,12911972165,0.1226,31267,0.0726,244410.24,29966.53,59
42,HEMOBOMB,12890189008,0.1145,147784,0.3297,251072.67,28760.13,59
43,SYNTHETIC_HEART,12269230281,0.2936,54589,0.2039,156080.12,45830.19,59
44,PRECURSOR_GEAR,12175155447,0.1655,38575,0.2182,416122.97,68877.25,59
45,ESSENCE_ICE,12054191190,0.1055,2057411,0.0322,1788.99,188.82,59
46,DO_NOT_EAT_SHROOM,11540540273,0.6248,18636,0.4648,460670.68,287818.28,59
47,EXPORTABLE_CARROTS,9976263544,0.1465,1355783,0.224,11251.97,1648,59
49,SHARD_HIDEONLEAF,9921276118,0.101,296812,0.1916,63419.38,6403.35,60
50,ENCHANTMENT_TURBO_MOONFLOWER_1,9170920766,0.3115,34493,0.4106,350443.47,109175.78,59
